Country,GDP (USD Million),Rank,ISO
United States,26949643,1,USA
China,17700899,2,CHN
Germany,4429838,3,DEU
Japan,4230862,4,JPN
India,3732224,5,IND
United Kingdom,3332059,6,GBR
France,3049016,7,FRA
Italy,2186082,8,ITA
Brazil,2126809,9,BRA
Canada,2117805,10,CAN
Russia,1862470,11,RUS
Mexico,1811468,12,MEX
South Korea,1709232,13,KOR
Australia,1687713,14,AUS
Spain,1582054,15,ESP
Indonesia,1417387,16,IDN
Turkey,1154600,17,TUR
Netherlands,1092748,18,NLD
Saudi Arabia,1069437,19,SAU
Switzerland,905684,20,CHE
